"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"silent",0.002027,-0.013617,0.025887,0.000544,0.017181,-0.001785,0.013409,-0.0166,-0.001477,-0.010869,0.007965,0.008745,-0.014363,0.00255,-0.027647,-0.002448,0.014453,-0.000825,-0.019841,-0.017753,-0.033622,-0.000943,0.009549,-0.01025,0.005664,-0.0028,-0.009957,0.016305,0.011216,-0.00239,0.001312,-0.001379,-0.011236,-0.002954,-0.021547,0.018126,0.018221,-0.006195,0.016516,0.018164,0.015968,-0.013478,0.001392,0.013005,-0.016223,0.016752,-0.016587,0.001841,-0.005163,0.010738,-0.001108,0.011632,0.026063,-0.006424,0.005751,-0.003563,0.017357,-0.011133,-0.022847,0.040418,-0.007878,-0.010514,-0.000344,-0.003813,-0.024828,-0.025976,-0.014366,0.010551,-0.023044,-0.001057,0.006821,-0.004839,0.022287,-0.012021,-0.017372,0.013423,0.022292,-0.009189,-0.023829,-0.014304,0.017642,0.008507,0.004944,-0.009092,0.010705,-0.003999,-0.008325,-0.016997,0.003067,-0.008238,-0.013665,0.01639,-0.004187,0.010837,-0.038685,0.006638,0.020909,-0.003617,-0.019951,-0.028669
"rise",-0.007364,-0.013794,0.020205,0.000237,0.019715,-0.005545,0.018995,-0.008732,0.000802,-0.003125,0.015423,0.006824,-0.009053,0.002542,-0.019074,-0.007735,0.010068,0.006596,-0.020703,-0.016978,-0.029174,-0.006952,0.003215,-0.01011,0.005024,-0.001705,-0.005303,0.005599,0.003569,-0.007055,-0.003007,-0.000101,-0.000764,0.002338,-0.015965,0.009911,0.010779,-0.009113,0.007125,0.013817,0.023313,-0.013255,0.003446,0.011707,-0.018401,0.007058,-0.012556,-0.001525,-0.008143,0.011419,-0.010481,0.000924,0.023183,-0.003908,0.010277,-0.009592,0.012203,-0.007224,-0.018663,0.028624,-0.008818,-0.010277,-0.000481,-0.007471,-0.01798,-0.017355,-0.013625,0.007882,-0.01366,0.006276,0.011632,0.003928,0.01714,-0.007436,-0.0132,0.00943,0.01975,-0.009081,-0.020887,-0.014406,0.018176,0.005954,0.001121,-0.010187,0.006374,-0.008432,-0.010728,-0.01119,0.004633,-0.001295,-0.008896,0.012184,0.002641,0.01068,-0.029572,-0.005852,0.007524,-0.006098,-0.017314,-0.015272
"29",-0.014305,-0.012671,0.030006,0.00215,0.018405,-0.011115,0.022791,-0.029288,-0.004836,-0.011566,0.010177,0.013244,-0.01922,0.024637,-0.03516,-0.000566,0.007088,-0.000939,-0.015387,-0.027403,-0.040598,-0.002065,0.003072,-0.015499,-0.004628,0.002498,-0.017787,-3e-06,0.005971,-0.021333,-0.014913,0.001382,-0.008482,0.016789,-0.009237,0.021751,0.01322,-0.017246,0.013608,0.013327,0.041379,-0.021851,0.019945,0.017504,-0.028895,0.018166,-0.023082,-0.004988,-0.009773,0.021321,-0.012517,0.012379,0.035836,-0.001707,0.005138,0.000983,0.023352,-0.025042,-0.025942,0.070639,-0.015119,-0.021972,-0.007929,-0.006905,-0.039705,-0.060054,-0.014427,0.01013,-0.021744,-0.004714,0.005497,-0.009308,0.016446,-0.010316,-0.006764,0.017267,0.029483,-0.017814,-0.037411,-0.028022,0.016243,0.009902,0.015516,-0.006839,0.00391,-0.001465,-0.020921,-0.021332,0.01649,-0.014054,-0.007977,0.038008,0.002627,0.01505,-0.053723,0.008923,0.039292,-0.002211,-0.028538,-0.021983
"getting",-0.010901,-0.007668,0.020558,-0.003537,0.01575,-0.00576,0.013813,-0.017248,0.00145,-0.00303,0.007628,0.010532,-0.015815,0.01019,-0.024556,0.005586,0.009715,0.003827,-0.021873,-0.017907,-0.033602,-0.00202,0.008046,-0.008722,0.001256,0.007582,-0.016979,0.002534,0.005908,-0.016099,-0.006208,-0.003066,-0.010815,0.0038,-0.009884,0.011018,0.007677,-0.014663,0.008071,0.016877,0.028449,-0.020669,0.01074,0.013003,-0.018138,0.009101,-0.013487,0.000554,-0.011775,0.016575,-0.011674,0.014278,0.019075,0.00267,0.003402,-0.006602,0.011367,-0.012998,-0.021007,0.044139,-0.005329,-0.008187,0.00129,0.000636,-0.020308,-0.036671,-0.007758,0.004727,-0.016392,-0.002672,0.010062,0.000517,0.019326,-0.004425,-0.011151,0.01079,0.022531,-0.00571,-0.016022,-0.014481,0.011981,0.00813,0.003083,-0.006036,0.007413,-0.002823,-0.015213,-0.010143,0.009141,-0.009833,-0.008214,0.023894,0.005639,0.003652,-0.035985,0.005602,0.015841,0.003146,-0.020131,-0.016551
"Remainder",-0.003382,-0.017136,0.036472,-0.000628,0.02713,-0.016042,0.025114,-0.021657,-0.008866,-0.007403,0.017515,0.011132,-0.015055,0.010487,-0.030211,-0.002221,0.01693,0.012269,-0.023038,-0.02914,-0.03948,-0.007886,0.01405,-0.015486,0.008248,0.004366,-0.016398,0.015039,0.006507,-0.006475,-0.008997,0.001253,-0.008339,-0.001831,-0.024116,0.027799,0.017301,-0.00538,0.012922,0.011174,0.026066,-0.020718,0.003364,0.020688,-0.022005,0.023827,-0.020914,-0.002039,-0.016564,0.020742,-0.007972,0.008274,0.033512,-0.007103,0.010963,-0.009957,0.022723,-0.020244,-0.028682,0.048985,-0.008605,-0.016514,-0.005856,-0.0146,-0.027765,-0.037398,-0.014731,0.0128,-0.022894,0.003451,0.012983,-0.002047,0.03117,-0.00729,-0.013436,0.019517,0.035295,-0.01557,-0.026808,-0.021564,0.015334,0.010916,0.006905,-0.00629,0.013488,-0.015792,-0.010439,-0.004561,0.005541,-0.005965,-0.013364,0.017546,0.010569,0.008069,-0.040045,-0.004463,0.022706,-0.001977,-0.024723,-0.017215
"themselves",-0.0107,-0.013647,0.026913,0.002069,0.028295,-0.006892,0.025044,-0.021228,-0.004656,-0.0054,0.018236,0.014329,-0.016306,0.007507,-0.030594,-0.004871,0.017529,0.008569,-0.020883,-0.029847,-0.035889,-0.010959,0.011867,-0.01753,0.002449,0.003604,-0.013566,0.012119,0.00693,-0.011011,-0.001912,0.005679,-0.000788,-0.002732,-0.025263,0.024741,0.025123,-0.008219,0.008795,0.019739,0.028004,-0.020939,0.006586,0.021507,-0.022322,0.015737,-0.014685,-0.0062,-0.020165,0.01998,-0.006838,0.005421,0.030406,-0.004411,0.008193,-0.011834,0.015563,-0.009801,-0.02216,0.041346,-0.009236,-0.007612,-0.005002,-0.009682,-0.02034,-0.036746,-0.013823,0.015589,-0.022177,0.003661,0.008104,-0.004573,0.028639,-0.007323,-0.007425,0.012287,0.030653,-0.011701,-0.022521,-0.023584,0.018857,0.007352,0.004515,-0.008177,0.0154,-0.009012,-0.012208,-0.0054,0.012737,-0.004377,-0.018512,0.016309,0.00347,0.008799,-0.040386,-0.007908,0.01423,-0.004761,-0.017625,-0.015526
"Love",-0.000229,-0.014241,0.031136,-0.009281,0.025351,-0.017526,0.034097,-0.019222,-0.011134,-0.006703,0.016443,0.013138,-0.010171,0.012932,-0.031612,-0.004626,0.012087,0.011866,-0.029233,-0.027514,-0.039358,-0.010557,0.013581,-0.013432,0.010659,0.000947,-0.023491,0.019391,0.018348,-0.007854,-0.004263,9.4e-05,-0.010674,-0.009037,-0.012532,0.019256,0.012192,-0.00691,0.022421,0.023747,0.027765,-0.016313,0.009927,0.014573,-0.019006,0.021157,-0.019369,-0.005456,-0.005183,0.018547,-0.010362,0.010471,0.034795,-0.00258,0.010347,-0.002914,0.026939,-0.024353,-0.035354,0.053644,-0.011128,-0.011466,-0.003987,-0.006737,-0.028375,-0.042325,-0.021183,0.012481,-0.028115,0.001119,0.011904,-0.010144,0.027569,-0.004381,-0.008505,0.018891,0.031067,-0.012109,-0.033271,-0.017733,0.02138,0.013635,-0.002828,-0.007156,0.014414,-0.016687,-0.015928,-0.01226,0.001221,-0.001644,-0.016614,0.021041,0.003804,0.012982,-0.039959,0.004788,0.025452,-0.008151,-0.015401,-0.027633
"express",-0.001525,-0.018858,0.026516,0.001764,0.021171,0.001542,0.010881,-0.004375,-0.001073,4.5e-05,0.014028,0.008636,-0.013007,-0.002793,-0.023984,-0.011143,0.016109,0.004632,-0.019174,-0.02265,-0.036693,-0.005549,0.011881,-0.018731,0.00624,0.003658,-0.005548,0.012452,0.00873,0.006354,0.005811,0.000143,0.000325,0.000103,-0.032086,0.016882,0.022702,-0.005482,0.010497,0.023328,0.0119,-0.021803,-0.002237,0.012323,-0.023841,0.007832,-0.005715,-0.000726,-0.014824,0.013694,-0.004124,0.010876,0.03034,-0.010691,0.017286,-0.005875,0.019924,-0.002059,-0.020976,0.036637,-0.010793,-0.01175,-0.003593,-0.013759,-0.016299,-0.021539,-0.004937,0.018805,-0.018654,0.011874,0.002555,0.001566,0.034658,-0.001757,-0.012379,0.011367,0.028527,-0.013782,-0.026576,-0.025545,0.031932,0.019043,-0.002437,-0.017497,0.016802,-0.013944,-0.006968,-0.002114,0.011215,-0.003636,-0.024702,0.017515,0.000618,0.006735,-0.049217,-0.005695,0.013022,-0.009071,-0.023859,-0.019899
"Rain",0.000729,-0.014692,0.031212,0.000136,0.024375,-0.019447,0.020656,-0.024525,-0.002379,-0.004292,0.019255,0.010184,-0.012452,0.016628,-0.031924,0.00196,0.010447,0.012254,-0.026121,-0.034811,-0.042492,-0.003624,0.016362,-0.006676,0.005534,0.000139,-0.019914,0.008359,0.011005,-0.013473,-0.002859,-0.001352,-0.013398,0.001496,-0.019709,0.027148,0.017556,-0.008002,0.011558,0.01868,0.030685,-0.020964,0.01736,0.021524,-0.027352,0.016086,-0.020544,-0.000895,-0.010054,0.016691,-0.009362,0.012931,0.035885,0.002019,0.003505,-0.004407,0.020693,-0.014528,-0.030332,0.055392,-0.007078,-0.007694,-0.002991,-0.011265,-0.026209,-0.048017,-0.0209,0.015988,-0.023656,0.001601,0.009673,-0.005626,0.024488,-0.004741,-0.01048,0.019524,0.035537,-0.012674,-0.035471,-0.021355,0.016513,0.012847,0.007475,-0.012038,0.008555,-0.008625,-0.020064,-0.0134,0.013114,-0.009004,-0.012702,0.025926,0.000864,0.015916,-0.047952,0.005285,0.027854,-0.006021,-0.023615,-0.023069
"N.E.",-0.01538,-0.010956,0.021272,0.002899,0.028824,-0.007533,0.020203,-0.023682,-0.005382,-0.009417,0.016299,0.014576,-0.013843,0.006932,-0.033687,-0.000665,0.010232,0.004866,-0.022827,-0.024154,-0.041177,-0.003035,0.008708,-0.018276,0.006437,0.003866,-0.018376,0.005134,0.003798,-0.017436,-0.006159,0.007662,-0.000431,0.002868,-0.021737,0.024501,0.015676,-0.00541,0.009798,0.009468,0.034889,-0.024157,0.007187,0.012014,-0.023999,0.013678,-0.011116,-0.003953,-0.014218,0.018842,-0.009831,0.008515,0.022417,-0.006314,0.005747,-0.008619,0.009458,-0.015331,-0.01558,0.043578,-0.003,-0.007027,-0.001652,-0.010115,-0.011416,-0.03611,-0.009357,0.009875,-0.012037,0.008766,0.005808,-0.005335,0.018211,-0.008393,-0.012327,0.013885,0.024912,-0.005001,-0.024189,-0.023209,0.019886,0.010377,0.006173,-0.005208,0.003839,-0.009895,-0.00725,-0.009866,0.013681,-0.002165,-0.01157,0.021946,-0.000113,0.005298,-0.036671,-0.004283,0.011602,-0.001206,-0.014606,-0.013768
"Inferiour",-0.013186,-0.012527,0.030756,-0.003132,0.034679,-0.01389,0.033319,-0.021524,-0.000656,-0.008816,0.022846,0.01009,-0.012315,0.012423,-0.036926,-0.007991,0.023446,0.005276,-0.025667,-0.026682,-0.047284,-0.004802,0.016726,-0.013443,0.014894,0.004096,-0.014074,0.019049,0.016132,-0.003887,0.004872,0.000366,-0.008193,-0.003363,-0.031467,0.024613,0.019843,-0.006316,0.019671,0.023779,0.032371,-0.02879,0.009281,0.020587,-0.025564,0.015903,-0.017588,-0.000865,-0.024015,0.024111,-0.008055,0.005497,0.036093,-4.8e-05,0.012463,-0.009688,0.015045,-0.015238,-0.028938,0.049238,-0.009017,-0.012469,-0.009467,-0.018019,-0.016842,-0.033804,-0.016619,0.020609,-0.022732,0.006724,0.01744,-0.007396,0.02961,-0.012799,-0.021188,0.018182,0.029396,-0.00589,-0.02574,-0.01963,0.033398,0.014735,-0.003984,-0.005576,0.01185,-0.008866,-0.009844,-0.006081,0.009702,0.001938,-0.021843,0.020887,-0.003954,0.012522,-0.041656,-0.009385,0.00945,-0.007401,-0.022413,-0.026228
"Practice",-0.014465,-0.028617,0.032099,0.004986,0.04064,-0.019028,0.039294,-0.03382,-0.013263,0.001753,0.03366,0.008993,-0.021949,0.018426,-0.036868,-0.005198,0.018332,0.015545,-0.033071,-0.040934,-0.051896,-0.010143,0.02143,-0.010431,0.005994,0.007492,-0.026572,0.0056,0.010198,-0.024877,-0.008072,0.015351,-2.3e-05,0.001957,-0.03328,0.029574,0.026212,-0.008537,0.012113,0.014543,0.048196,-0.029894,0.005405,0.022715,-0.033009,0.017986,-0.02597,-0.01078,-0.028974,0.031747,-0.011735,0.001592,0.030993,-0.008128,0.01049,-0.018557,0.00988,-0.01259,-0.030195,0.059794,-0.00114,-0.016465,-0.013704,-0.020592,-0.017293,-0.051288,-0.024479,0.013259,-0.024542,0.010895,0.005222,-8.4e-05,0.027457,-0.005604,-0.002191,0.021216,0.040095,-0.017633,-0.03193,-0.027497,0.022065,0.015795,0.009726,-0.011321,0.012818,-0.01426,-0.009363,-0.004822,0.010385,-0.007816,-0.020644,0.031497,-0.000569,0.007888,-0.056464,-0.008227,0.024708,-0.006619,-0.024078,-0.011622
"time.",-0.006712,-0.013962,0.024092,-0.004526,0.020347,-0.007637,0.025416,-0.021672,-0.007787,-0.002089,0.016933,0.016105,-0.014736,0.013469,-0.026744,0.002345,0.010271,0.010286,-0.022203,-0.029612,-0.038934,-0.00113,0.011187,-0.009973,0.005504,0.006333,-0.011146,0.01346,0.006615,-0.003285,-0.000709,-0.003477,-0.012277,0.004909,-0.024108,0.022058,0.016548,-0.002793,0.011601,0.017701,0.024669,-0.010936,0.006673,0.015012,-0.026745,0.010953,-0.018275,0.000976,-0.009907,0.016226,-0.004836,0.0128,0.028832,-0.004563,0.0123,-0.005847,0.011159,-0.009155,-0.026215,0.047011,-0.011402,-0.011441,-0.001367,-0.003712,-0.020463,-0.036807,-0.017047,0.011129,-0.023296,-0.001252,0.009092,0.000582,0.029283,-0.007044,-0.007698,0.015737,0.027855,-0.013762,-0.02278,-0.014493,0.024122,0.015012,0.00186,-0.00947,0.007604,-0.005396,-0.015519,-0.006487,0.004371,-0.005851,-0.011392,0.017958,-0.004192,0.015335,-0.035427,-0.001782,0.017077,-0.00503,-0.015131,-0.020675
"Poverty",-0.001538,-0.007521,0.020889,0.004458,0.019563,-0.001428,0.014885,-0.010639,0.000105,-0.009555,0.01906,0.005112,-0.01012,0.004051,-0.01885,-0.002319,0.005143,0.004086,-0.010271,-0.018638,-0.029586,-0.006685,0.012591,-0.012737,0.00696,-3.3e-05,-0.002854,0.001972,0.008174,-0.002623,0.003248,0.002129,-0.000759,-0.000186,-0.016849,0.011566,0.01376,-0.002032,0.007182,0.00921,0.012708,-0.013544,-0.001231,0.014612,-0.018369,0.010924,-0.012178,-0.000168,-0.010259,0.012942,-0.007149,0.006393,0.0232,-0.004607,0.011926,-0.006448,0.013212,-0.004473,-0.011073,0.026295,-0.004501,-0.005732,0.000325,-0.012707,-0.005381,-0.015758,-0.007037,0.013922,-0.007682,0.008017,0.005937,-0.005182,0.018031,-0.003945,-0.005145,0.00952,0.02012,-0.012585,-0.019288,-0.017552,0.015591,0.0088,0.000947,-0.009795,0.003852,-0.001826,-0.007602,-0.004554,0.008577,0.000804,-0.007225,0.008604,-0.002056,3.7e-05,-0.020181,-0.007893,0.004454,-0.006845,-0.015976,-0.011273
"Received",-0.009982,-0.009016,0.011846,0.001576,0.013179,0.001484,0.002993,-0.010912,0.001681,-0.008917,0.001513,0.006156,-0.013237,0.005203,-0.016146,-0.002592,0.006353,0.003174,-0.003517,-0.011899,-0.017977,-0.003761,0.002368,-0.010581,-0.007287,-0.002593,-0.008013,-0.000799,0.008177,-0.00749,-0.003156,0.003027,-0.000547,0.006945,-0.008157,0.007614,0.001104,-0.012399,0.012358,0.011032,0.023085,-0.016103,0.012775,0.014093,-0.01662,0.010317,-0.009357,-0.00234,-0.004143,0.014544,-0.011408,0.007834,0.01639,-0.004029,-0.00155,-0.004347,0.011882,-0.007865,-0.007521,0.031978,-0.003984,-0.007696,0.000398,-0.003903,-0.019499,-0.027979,0.00081,0.000295,-0.007745,-0.000397,0.00369,-0.006372,0.01293,-0.008093,-0.009456,0.006871,0.013267,-0.009532,-0.019923,-0.012862,0.011863,0.002451,0.01087,-0.001278,-0.00096,0.004987,-0.004645,-0.012581,0.009971,-0.002912,-0.009488,0.018074,-0.002809,0.010796,-0.023365,0.000749,0.015684,0.001738,-0.011029,-0.015993
"treated",-0.008576,-0.020041,0.024847,-0.001579,0.028103,-0.007056,0.018769,-0.020936,-0.00235,-0.007716,0.026028,0.014296,-0.013421,0.008316,-0.03158,-0.005145,0.014565,0.005068,-0.025958,-0.029483,-0.041147,-0.000776,0.014663,-0.020872,0.004927,-0.000289,-0.013574,0.015963,0.006732,-0.008657,-0.005715,0.012158,-0.000322,0.002607,-0.029918,0.019561,0.020601,-0.005046,0.016483,0.01746,0.031301,-0.017717,0.003296,0.017451,-0.027168,0.017245,-0.017097,-0.003832,-0.010495,0.017716,-0.008402,0.009229,0.034837,-0.010654,0.013353,-0.01296,0.019845,-0.014716,-0.026399,0.050308,-0.011972,-0.019163,-0.009774,-0.020457,-0.023507,-0.032075,-0.012716,0.009936,-0.021978,0.003664,0.002974,-0.005903,0.02376,-0.002109,-0.014723,0.019095,0.031373,-0.018797,-0.03012,-0.022029,0.021888,0.017858,0.010722,-0.008169,0.011952,-0.007745,-0.005653,-0.008224,0.006619,-0.002597,-0.021728,0.018386,0.000945,0.012901,-0.036949,-0.008593,0.014999,-0.009376,-0.021233,-0.016319
"Lloyd",-0.010032,0.003537,0.018504,-0.001625,0.014767,0.00022,0.011236,-0.014725,0.002968,-0.015893,-0.001283,0.018157,-0.001956,0.007166,-0.026943,-0.004255,0.012361,0.001224,-0.008204,-0.007105,-0.029206,-0.000251,-0.005317,-0.022703,0.003916,-0.008492,-0.014438,0.009156,0.015151,-0.010207,-0.005961,-0.005777,-0.010151,-0.00165,-0.004941,0.018899,-0.004739,-0.012355,0.023909,0.010019,0.020679,-0.021127,0.019616,0.009939,-0.007095,0.009339,-0.018208,-0.005228,0.003535,0.014382,-0.016127,0.020825,0.024827,0.003758,0.000673,0.005379,0.018763,-0.022872,-0.019386,0.033143,-0.014838,-0.017297,-0.00058,-0.00054,-0.042201,-0.034832,-0.013195,0.008129,-0.015701,-0.005036,0.005856,-0.010325,0.01165,-0.024094,-0.013907,0.023013,0.026587,-0.002605,-0.016865,-0.010096,0.019296,0.004383,0.003378,-0.001787,-0.001396,-0.006716,-0.004782,-0.024605,-0.002962,0.004964,-0.007771,0.017553,-0.002978,0.009155,-0.028407,0.003944,0.025338,0.012178,-0.015265,-0.0268
"determine",-0.015482,-0.019254,0.016116,0.006611,0.027565,-0.006278,0.0218,-0.012907,0.001174,-0.003905,0.020555,0.001022,-0.015373,0.004437,-0.019174,-0.00858,0.013965,-0.001786,-0.020351,-0.018893,-0.030547,-0.003721,0.014364,-0.010674,0.003064,-0.000726,-0.001195,0.002365,-6.9e-05,-0.007485,0.005385,0.00848,0.005015,-0.005848,-0.033963,0.016911,0.021819,-0.004198,0.010354,0.01066,0.017111,-0.023073,0.00203,0.019039,-0.017358,0.004281,-0.010951,-0.000926,-0.017673,0.016702,-0.003177,-0.001751,0.021195,-0.003601,0.008501,-0.017254,0.009238,0.001411,-0.007945,0.02465,-0.004435,-0.010284,-0.009386,-0.013988,-0.006408,-0.01215,-0.010654,0.017938,-0.014557,0.008056,0.002228,-0.004058,0.025257,0.000379,-0.014236,-0.000801,0.014897,-0.012426,-0.011685,-0.01393,0.024084,0.01143,0.001112,-0.00919,0.009384,-0.009638,-0.000215,0.003598,0.004235,-0.003514,-0.016708,0.004984,-0.000506,-0.001208,-0.026015,-0.011522,0.003868,-0.001975,-0.00941,-0.008309
"Tryal",-0.005519,-0.021371,0.0242,0.003968,0.049547,-0.024237,0.034401,-0.021209,-0.014699,-0.013005,0.034892,0.014684,-0.006494,0.013901,-0.037527,-0.011528,0.024885,0.019404,-0.023017,-0.026539,-0.052648,-0.008454,0.011347,-0.01618,0.023026,-0.015031,-0.02891,0.017204,0.015833,-0.018749,-0.004059,0.024891,-0.007945,-0.019857,-0.037212,0.032029,0.002291,0.005591,0.028668,0.003411,0.031268,-0.023437,0.014796,0.019629,-0.0166,0.010155,-0.018051,-0.008121,-0.026586,0.026659,-0.016773,0.007506,0.030259,-0.005753,0.02477,-0.01443,0.017424,-0.026351,-0.026945,0.034133,-0.007541,-0.022811,-0.017857,-0.023997,-0.016863,-0.038229,-0.02567,0.006292,-0.026525,-0.000393,0.019301,-0.019955,0.012345,-0.014639,-0.018964,0.028282,0.0367,-0.003525,-0.02433,-0.006242,0.022595,0.011289,-0.005317,0.010931,0.003149,-0.017327,0.006627,-0.010734,-0.000641,0.012389,-0.029766,0.013084,0.012271,0.009001,-0.030161,-0.015971,0.008611,0.003491,-0.017091,-0.005324
"fond",-0.002332,-0.027561,0.032843,0.002322,0.031462,-0.01342,0.029661,-0.021357,-0.01001,-0.004614,0.038789,0.006141,-0.016633,0.009012,-0.031594,-0.016489,0.017435,0.011194,-0.020352,-0.028663,-0.046145,-0.011437,0.016972,-0.016389,0.008279,-0.000931,-0.01486,0.020652,0.002723,-0.003478,-0.000655,0.013601,-0.00088,-0.008992,-0.03971,0.032463,0.018845,0.001488,0.016376,0.017293,0.024371,-0.015148,-0.009985,0.018815,-0.022427,0.020064,-0.014115,0.002801,-0.020966,0.019925,-0.005589,0.005755,0.033046,-0.01217,0.022298,-0.014753,0.016727,-0.016344,-0.029509,0.046801,-0.009454,-0.014705,-0.005166,-0.02842,-0.012205,-0.034303,-0.02264,0.014231,-0.024255,0.008578,0.005821,-0.003658,0.036544,0.002165,-0.009962,0.022821,0.044965,-0.015913,-0.031402,-0.025151,0.022924,0.021046,0.006815,-0.01184,0.021488,-0.020103,-0.003504,-0.000631,0.011855,0.003102,-0.02484,0.016151,0.004335,0.010823,-0.045456,-0.014914,0.015423,-0.005295,-0.018221,-0.012132
"magnificent",-0.005646,-0.010543,0.010003,-0.004262,0.013173,-0.005895,0.016871,-0.005768,-0.008714,-0.007538,0.01271,0.004179,-0.005448,0.000477,-0.014741,-0.002069,0.012382,0.000437,-0.013235,-0.014919,-0.017221,-0.006631,0.01016,-0.005453,0.011379,0.001086,-0.007103,0.007358,0.002695,-0.006813,0.002247,0.007014,-0.003092,1.4e-05,-0.018054,0.009514,0.007561,0.000878,0.006685,0.007054,0.015161,-0.006592,0.001162,0.006738,-0.013085,0.004163,-0.008747,0.001671,-0.013329,0.013211,-0.008233,-0.002089,0.01689,0.000935,0.00755,-0.00107,0.00453,-0.010553,-0.015626,0.020964,-0.004069,-0.001882,-0.003485,-0.006164,-0.008439,-0.012664,-0.013453,0.012038,-0.015133,0.002092,0.010137,-0.001916,0.014954,-0.005537,-0.011139,0.007903,0.014962,0.000336,-0.013827,-0.003256,0.009195,0.005862,-0.002234,-0.005351,0.007865,-0.001833,-0.006351,-0.003255,-0.001399,-0.003119,-0.01164,0.003093,0.002091,0.00177,-0.019145,-0.006222,0.003577,0.003015,-0.009921,-0.005331
"Executor",-0.007112,-0.022188,0.034116,-0.005839,0.041574,-0.017092,0.033865,-0.020561,-0.006826,-0.004399,0.028901,0.010674,-0.019698,0.00292,-0.035749,-0.016925,0.02184,0.011598,-0.027492,-0.032262,-0.052844,-0.005167,0.022839,-0.02044,0.01677,-0.002733,-0.01307,0.022285,0.013351,0.00331,5.6e-05,0.009988,-0.000563,-0.009132,-0.042307,0.032866,0.032286,-0.004195,0.014217,0.024509,0.023906,-0.024952,-0.003011,0.021825,-0.027139,0.008995,-0.011522,-0.003155,-0.021283,0.024041,-0.008735,-0.001543,0.035646,-0.003082,0.023804,-0.012305,0.019027,-0.013777,-0.02337,0.036539,-0.006543,-0.006061,-0.00536,-0.021131,-0.009867,-0.023296,-0.020527,0.020945,-0.029407,0.010189,0.018317,0.00046,0.033276,-0.002336,-0.017329,0.011067,0.029083,-0.008187,-0.023585,-0.023467,0.034115,0.017745,-0.002225,-0.010083,0.014328,-0.018647,-0.006005,0.002026,0.007718,0.00329,-0.025697,0.010482,-0.009559,0.007357,-0.046614,-0.01633,-0.001132,-0.001478,-0.023005,-0.012428
"Joseph",-0.00758,-0.004945,0.007515,-0.000772,0.010356,-0.008065,0.008484,0.000342,-9.3e-05,0.003325,0.002494,-0.001902,-0.001974,-0.00041,-0.004345,-0.00064,0.007179,-0.003401,-0.000766,-0.010265,-0.009937,0.001522,0.007085,-0.006607,-0.002977,0.000214,-0.006165,0.003326,-0.001488,-0.004666,-0.002456,0.00249,0.001856,0.003739,-0.011627,0.005587,0.002024,-0.002174,0.004992,0.004848,0.002458,-0.009108,0.003835,0.002921,-0.00331,-0.002759,0.003107,-0.002723,-0.008296,0.008065,-0.002224,-0.00506,0.008079,-0.005342,0.005723,-0.002188,0.004552,0.000353,0.000898,0.004575,-0.001212,-0.000216,-0.006348,-0.002921,0.003333,-0.007515,0.00105,0.006501,-0.003277,0.003005,-0.003195,-0.002452,0.008601,-0.000819,-0.000872,-0.003456,0.005651,-0.001,-0.000345,-0.004137,0.004567,-0.000397,0.004445,0.000665,0.006256,0.002675,0.002291,0.005289,0.004461,0.00156,-0.005978,6e-06,0.00093,-0.003665,-0.005199,-0.004937,-0.000835,0.001979,-0.001256,0.003647
"34",-0.00208,-0.012179,0.038732,-0.006968,0.018674,-0.01235,0.028778,-0.033015,-0.002563,-0.012108,0.017825,0.022454,-0.024161,0.027907,-0.040967,0.005735,0.009496,0.012687,-0.027861,-0.028132,-0.047682,-0.002905,0.012574,-0.012062,0.002647,0.008455,-0.022351,0.009763,0.014627,-0.029105,-0.009801,-0.001371,-0.019251,0.012583,-0.003912,0.02736,0.010462,-0.010896,0.01828,0.019716,0.043075,-0.020325,0.025879,0.024188,-0.030902,0.019743,-0.030365,-0.01043,-0.003155,0.013067,-0.010631,0.020027,0.035004,-0.003757,0.007161,0.00518,0.024536,-0.03233,-0.041082,0.083043,-0.022328,-0.02307,-0.001819,-0.005391,-0.045571,-0.071448,-0.026709,0.004092,-0.028229,-0.000897,0.004791,-0.006173,0.02709,-0.015785,-0.006028,0.023199,0.037504,-0.013587,-0.036331,-0.024875,0.018832,0.014161,0.020918,-0.013935,0.004892,-0.003691,-0.022897,-0.026754,0.02272,-0.019722,-0.010171,0.039071,0.011036,0.020943,-0.053506,0.011366,0.0488,0.000897,-0.02575,-0.031608
